,date,sum_deposit
755,2022-04-14,173495456831.0
756,2022-04-15,183225901677.0
757,2022-04-16,3505325657669.0
758,2022-04-17,1136637849822.0
759,2022-04-18,2216239875422.0
760,2022-04-19,1522081464640.0
761,2022-04-20,1559643774835.0
762,2022-04-21,41862672413.0
763,2022-04-22,240887214219.0
764,2022-04-23,314859885434.0
765,2022-04-24,1268459370229.0
766,2022-04-25,1699992960118.0
767,2022-04-26,2149563513387.0
768,2022-04-27,2393242724884.0
769,2022-04-28,307858451299.0
770,2022-04-29,243440532762.0
771,2022-04-30,1205876419214.0
772,2022-05-01,2025494118957.0
773,2022-05-02,1814554145339.0
774,2022-05-03,106479692828.0
775,2022-05-04,107096873270.0
776,2022-05-05,224568429994.0
777,2022-05-06,241199252209.0
778,2022-05-07,1478710272412.0
779,2022-05-08,1615811720522.0
780,2022-05-09,2187639872772.0
781,2022-05-10,1590320624741.0
782,2022-05-11,1403568080517.0
783,2022-05-12,351035904409.0
784,2022-05-13,389521571614.0
785,2022-05-14,2182632157903.0
786,2022-05-15,1711647287878.0
787,2022-05-16,2934203725164.0
788,2022-05-17,2559852290814.0
789,2022-05-18,1313789216679.0
790,2022-05-19,261996370312.0
791,2022-05-20,254583177800.0
792,2022-05-21,1265007003819.0
793,2022-05-22,1890069957301.0
794,2022-05-23,1538737274959.0
795,2022-05-24,1164223422094.0
796,2022-05-25,1884757897755.0
797,2022-05-26,286735773542.0
798,2022-05-27,247063047652.0
799,2022-05-28,2204491800628.0
800,2022-05-29,1650362447452.0
801,2022-05-30,1165925133997.0
802,2022-05-31,1541528618221.0
803,2022-06-01,1678385916477.0
804,2022-06-02,192542758017.0
805,2022-06-03,118954866230.0
806,2022-06-04,127010147352.0
807,2022-06-05,208691024754.0
808,2022-06-06,2663873068511.0
809,2022-06-07,2058511215166.0
810,2022-06-08,1795352612097.0
811,2022-06-09,240262346367.0
812,2022-06-10,200695680241.0
813,2022-06-11,1722307720790.0
814,2022-06-12,2216653563231.0
815,2022-06-13,2030378042377.0
816,2022-06-14,1856577831782.0
